date,stays,cancellations,cancellationRate
2016-08-02,94,43,0.31386861313868614
2016-08-03,103,41,0.2847222222222222
2016-08-04,104,71,0.4057142857142857
2016-08-05,90,67,0.4267515923566879
2016-08-06,100,58,0.3670886075949367
2016-08-07,93,44,0.32116788321167883
2016-08-08,142,68,0.3238095238095238
2016-08-09,86,36,0.29508196721311475
2016-08-10,76,63,0.45323741007194246
2016-08-11,97,95,0.4947916666666667
2016-08-12,119,53,0.3081395348837209
2016-08-13,114,99,0.4647887323943662
2016-08-14,95,43,0.3115942028985507
2016-08-15,112,65,0.3672316384180791
2016-08-16,105,54,0.33962264150943394
2016-08-17,91,55,0.3767123287671233
2016-08-18,143,89,0.38362068965517243
2016-08-19,92,73,0.44242424242424244
2016-08-20,137,61,0.30808080808080807
2016-08-21,112,42,0.2727272727272727
2016-08-22,119,68,0.36363636363636365
2016-08-23,77,39,0.33620689655172414
2016-08-24,93,57,0.38
2016-08-25,102,67,0.39644970414201186
2016-08-26,107,63,0.37058823529411766
2016-08-27,83,58,0.41134751773049644
2016-08-28,116,51,0.30538922155688625
2016-08-29,111,53,0.3231707317073171
2016-08-30,87,45,0.3409090909090909
2016-08-31,94,34,0.265625
2016-09-01,113,80,0.41450777202072536
2016-09-02,107,67,0.3850574712643678
2016-09-03,109,69,0.38764044943820225
2016-09-04,80,52,0.3939393939393939
2016-09-05,133,52,0.2810810810810811
2016-09-06,76,23,0.23232323232323232
2016-09-07,58,75,0.5639097744360902
2016-09-08,97,115,0.5424528301886793
2016-09-09,96,125,0.5656108597285068
2016-09-10,88,27,0.23478260869565218
2016-09-11,122,50,0.29069767441860467
2016-09-12,123,50,0.28901734104046245
2016-09-13,148,18,0.10843373493975904
2016-09-14,91,37,0.2890625
2016-09-15,174,139,0.4440894568690096
2016-09-16,118,99,0.45622119815668205
2016-09-17,90,31,0.256198347107438
2016-09-18,130,44,0.25287356321839083
2016-09-19,144,86,0.3739130434782609
2016-09-20,120,89,0.4258373205741627
2016-09-21,157,51,0.24519230769230768
2016-09-22,116,78,0.4020618556701031
2016-09-23,100,40,0.2857142857142857
2016-09-24,60,62,0.5081967213114754
2016-09-25,122,33,0.2129032258064516
2016-09-26,167,137,0.4506578947368421
2016-09-27,93,29,0.23770491803278687
2016-09-28,100,36,0.2647058823529412
2016-09-29,104,78,0.42857142857142855
2016-09-30,136,150,0.5244755244755245
2016-10-01,63,121,0.657608695652174
2016-10-02,109,41,0.2733333333333333
2016-10-03,131,68,0.3417085427135678
2016-10-04,97,59,0.3782051282051282
2016-10-05,107,82,0.43386243386243384
2016-10-06,174,115,0.39792387543252594
2016-10-07,115,71,0.3817204301075269
2016-10-08,68,61,0.4728682170542636
2016-10-09,140,74,0.34579439252336447
2016-10-10,145,68,0.3192488262910798
2016-10-11,130,52,0.2857142857142857
2016-10-12,148,108,0.421875
2016-10-13,144,200,0.5813953488372093
2016-10-14,146,49,0.2512820512820513
2016-10-15,56,74,0.5692307692307692
2016-10-16,147,134,0.47686832740213525
2016-10-17,107,102,0.4880382775119617
2016-10-18,95,41,0.3014705882352941
2016-10-19,87,38,0.304
2016-10-20,152,95,0.38461538461538464
2016-10-21,104,143,0.5789473684210527
2016-10-22,73,102,0.5828571428571429
2016-10-23,167,25,0.13020833333333334
2016-10-24,100,36,0.2647058823529412
2016-10-25,127,28,0.18064516129032257
2016-10-26,106,50,0.32051282051282054
2016-10-27,95,99,0.5103092783505154
2016-10-28,151,183,0.5479041916167665
2016-10-29,158,81,0.3389121338912134
2016-10-30,130,84,0.3925233644859813
2016-10-31,117,30,0.20408163265306123
2016-11-01,83,129,0.6084905660377359
2016-11-02,114,29,0.20279720279720279
2016-11-03,91,138,0.6026200873362445
2016-11-04,108,129,0.5443037974683544
2016-11-05,104,110,0.514018691588785
2016-11-06,92,30,0.2459016393442623
2016-11-07,131,235,0.6420765027322405
2016-11-08,74,13,0.14942528735632185
2016-11-09,63,13,0.17105263157894737
2016-11-10,102,45,0.30612244897959184
2016-11-11,143,66,0.3157894736842105
2016-11-12,94,52,0.3561643835616438
2016-11-13,99,27,0.21428571428571427
2016-11-14,117,25,0.176056338028169
2016-11-15,81,14,0.14736842105263157
2016-11-16,95,36,0.2748091603053435
2016-11-17,101,59,0.36875
2016-11-18,134,73,0.3526570048309179
2016-11-19,102,38,0.2714285714285714
2016-11-20,58,35,0.3763440860215054
2016-11-21,149,34,0.18579234972677597
2016-11-22,56,21,0.2727272727272727
2016-11-23,83,23,0.2169811320754717
2016-11-24,81,39,0.325
2016-11-25,125,66,0.34554973821989526
2016-11-26,84,36,0.3
2016-11-27,48,33,0.4074074074074074
2016-11-28,86,32,0.2711864406779661
2016-11-29,72,37,0.3394495412844037
2016-11-30,48,19,0.2835820895522388
2016-12-01,76,98,0.5632183908045977
2016-12-02,119,80,0.4020100502512563
2016-12-03,119,70,0.37037037037037035
2016-12-04,56,31,0.3563218390804598
2016-12-05,111,31,0.21830985915492956
2016-12-06,55,40,0.42105263157894735
2016-12-07,72,47,0.3949579831932773
2016-12-08,154,86,0.35833333333333334
2016-12-09,69,47,0.4051724137931034
2016-12-10,71,28,0.2828282828282828
2016-12-11,31,8,0.20512820512820512
2016-12-12,55,23,0.2948717948717949
2016-12-13,65,12,0.15584415584415584
2016-12-14,66,11,0.14285714285714285
2016-12-15,50,44,0.46808510638297873
2016-12-16,81,61,0.4295774647887324
2016-12-17,82,29,0.26126126126126126
2016-12-18,52,11,0.1746031746031746
2016-12-19,72,27,0.2727272727272727
2016-12-20,53,25,0.32051282051282054
2016-12-21,63,26,0.29213483146067415
2016-12-22,69,56,0.448
2016-12-23,78,49,0.3858267716535433
2016-12-24,86,38,0.3064516129032258
2016-12-25,54,18,0.25
2016-12-26,71,93,0.5670731707317073
2016-12-27,154,61,0.2837209302325581
2016-12-28,85,64,0.42953020134228187
2016-12-29,95,68,0.4171779141104294
2016-12-30,149,89,0.3739495798319328
2016-12-31,49,27,0.35526315789473684
2017-01-01,79,49,0.3828125
2017-01-02,118,61,0.3407821229050279
2017-01-03,81,43,0.3467741935483871
2017-01-04,64,32,0.3333333333333333
2017-01-05,60,38,0.3877551020408163
2017-01-06,73,39,0.3482142857142857
2017-01-07,67,16,0.1927710843373494
2017-01-08,60,50,0.45454545454545453
2017-01-09,62,15,0.19480519480519481
2017-01-10,84,15,0.15151515151515152
2017-01-11,46,15,0.2459016393442623
2017-01-12,91,47,0.34057971014492755
2017-01-13,59,33,0.358695652173913
2017-01-14,99,145,0.5942622950819673
2017-01-15,48,19,0.2835820895522388
2017-01-16,154,39,0.20207253886010362
2017-01-17,59,10,0.14492753623188406
2017-01-18,134,85,0.3881278538812785
2017-01-19,88,35,0.2845528455284553
2017-01-20,53,31,0.36904761904761907
2017-01-21,78,37,0.3217391304347826
2017-01-22,69,20,0.2247191011235955
2017-01-23,68,104,0.6046511627906976
2017-01-24,66,21,0.2413793103448276
2017-01-25,92,99,0.518324607329843
2017-01-26,82,32,0.2807017543859649
2017-01-27,117,33,0.22
2017-01-28,76,35,0.3153153153153153
2017-01-29,56,15,0.2112676056338028
2017-01-30,85,26,0.23423423423423423
2017-01-31,63,11,0.14864864864864866
2017-02-01,57,96,0.6274509803921569
2017-02-02,91,42,0.3157894736842105
2017-02-03,85,37,0.30327868852459017
2017-02-04,119,35,0.22727272727272727
2017-02-05,72,19,0.2087912087912088
2017-02-06,83,25,0.23148148148148148
2017-02-07,60,18,0.23076923076923078
2017-02-08,64,9,0.1232876712328767
2017-02-09,100,46,0.3150684931506849
2017-02-10,106,81,0.43315508021390375
2017-02-11,88,41,0.3178294573643411
2017-02-12,103,98,0.48756218905472637
2017-02-13,147,46,0.23834196891191708
2017-02-14,99,52,0.3443708609271523
2017-02-15,122,26,0.17567567567567569
2017-02-16,81,48,0.37209302325581395
2017-02-17,127,83,0.3952380952380952
2017-02-18,90,38,0.296875
2017-02-19,101,34,0.2518518518518518
2017-02-20,112,62,0.3563218390804598
2017-02-21,83,23,0.2169811320754717
2017-02-22,135,35,0.20588235294117646
2017-02-23,100,70,0.4117647058823529
2017-02-24,98,54,0.35526315789473684
2017-02-25,189,127,0.40189873417721517
2017-02-26,138,47,0.25405405405405407
2017-02-27,102,31,0.23308270676691728
2017-02-28,66,36,0.35294117647058826
2017-03-01,104,40,0.2777777777777778
2017-03-02,179,156,0.46567164179104475
2017-03-03,96,40,0.29411764705882354
2017-03-04,58,28,0.32558139534883723
2017-03-05,129,55,0.29891304347826086
2017-03-06,125,32,0.20382165605095542
2017-03-07,97,31,0.2421875
2017-03-08,70,26,0.2708333333333333
2017-03-09,112,98,0.4666666666666667
2017-03-10,131,44,0.25142857142857145
2017-03-11,103,69,0.4011627906976744
2017-03-12,80,35,0.30434782608695654
2017-03-13,132,82,0.38317757009345793
2017-03-14,109,67,0.3806818181818182
2017-03-15,109,112,0.5067873303167421
2017-03-16,120,58,0.3258426966292135
2017-03-17,96,50,0.3424657534246575
2017-03-18,89,32,0.2644628099173554
2017-03-19,119,23,0.1619718309859155
2017-03-20,135,32,0.19161676646706588
2017-03-21,72,82,0.5324675324675324
2017-03-22,62,28,0.3111111111111111
2017-03-23,90,56,0.3835616438356164
2017-03-24,131,61,0.3177083333333333
2017-03-25,92,50,0.352112676056338
2017-03-26,93,33,0.2619047619047619
2017-03-27,114,69,0.3770491803278688
2017-03-28,67,21,0.23863636363636365
2017-03-29,130,24,0.15584415584415584
2017-03-30,124,55,0.30726256983240224
2017-03-31,130,83,0.38967136150234744
2017-04-01,86,46,0.3484848484848485
2017-04-02,75,21,0.21875
2017-04-03,140,91,0.3939393939393939
2017-04-04,61,64,0.512
2017-04-05,159,93,0.36904761904761907
2017-04-06,93,136,0.5938864628820961
2017-04-07,81,47,0.3671875
2017-04-08,111,89,0.445
2017-04-09,139,134,0.4908424908424908
2017-04-10,117,63,0.35
2017-04-11,102,35,0.25547445255474455
2017-04-12,86,47,0.3533834586466165
2017-04-13,128,114,0.47107438016528924
2017-04-14,121,104,0.4622222222222222
2017-04-15,100,129,0.5633187772925764
2017-04-16,85,82,0.49101796407185627
2017-04-17,117,57,0.3275862068965517
2017-04-18,89,47,0.34558823529411764
2017-04-19,114,34,0.22972972972972974
2017-04-20,99,59,0.37341772151898733
2017-04-21,99,124,0.5560538116591929
2017-04-22,105,118,0.5291479820627802
2017-04-23,109,60,0.35502958579881655
2017-04-24,96,33,0.2558139534883721
2017-04-25,76,35,0.3153153153153153
2017-04-26,75,194,0.7211895910780669
2017-04-27,106,91,0.4619289340101523
2017-04-28,161,100,0.3831417624521073
2017-04-29,169,161,0.48787878787878786
2017-04-30,99,55,0.35714285714285715
2017-05-01,117,88,0.4292682926829268
2017-05-02,132,42,0.2413793103448276
2017-05-03,92,121,0.568075117370892
2017-05-04,108,154,0.5877862595419847
2017-05-05,135,125,0.4807692307692308
2017-05-06,107,114,0.5158371040723982
2017-05-07,88,48,0.35294117647058826
2017-05-08,137,84,0.38009049773755654
2017-05-09,143,77,0.35
2017-05-10,85,73,0.4620253164556962
2017-05-11,127,77,0.37745098039215685
2017-05-12,96,55,0.36423841059602646
2017-05-13,106,77,0.4207650273224044
2017-05-14,130,35,0.21212121212121213
2017-05-15,122,198,0.61875
2017-05-16,92,46,0.3333333333333333
2017-05-17,111,46,0.2929936305732484
2017-05-18,118,62,0.34444444444444444
2017-05-19,91,225,0.7120253164556962
2017-05-20,113,133,0.540650406504065
2017-05-21,103,53,0.33974358974358976
2017-05-22,127,72,0.36180904522613067
2017-05-23,116,44,0.275
2017-05-24,156,110,0.41353383458646614
2017-05-25,190,117,0.3811074918566775
2017-05-26,99,82,0.4530386740331492
2017-05-27,74,59,0.44360902255639095
2017-05-28,137,90,0.3964757709251101
2017-05-29,115,30,0.20689655172413793
2017-05-30,90,148,0.6218487394957983
2017-05-31,94,77,0.4502923976608187
2017-06-01,127,101,0.44298245614035087
2017-06-02,137,117,0.46062992125984253
2017-06-03,121,102,0.45739910313901344
2017-06-04,96,50,0.3424657534246575
2017-06-05,115,59,0.3390804597701149
2017-06-06,93,45,0.32608695652173914
2017-06-07,85,63,0.42567567567567566
2017-06-08,120,217,0.6439169139465876
2017-06-09,126,97,0.4349775784753363
2017-06-10,96,42,0.30434782608695654
2017-06-11,131,85,0.39351851851851855
2017-06-12,107,73,0.40555555555555556
2017-06-13,84,36,0.3
2017-06-14,93,66,0.41509433962264153
2017-06-15,120,77,0.39086294416243655
2017-06-16,93,91,0.4945652173913043
2017-06-17,108,131,0.5481171548117155
2017-06-18,90,60,0.4
2017-06-19,111,75,0.4032258064516129
2017-06-20,105,63,0.375
2017-06-21,81,81,0.5
2017-06-22,108,58,0.3493975903614458
2017-06-23,103,93,0.4744897959183674
2017-06-24,92,75,0.4491017964071856
2017-06-25,131,50,0.27624309392265195
2017-06-26,101,86,0.45989304812834225
2017-06-27,110,92,0.45544554455445546
2017-06-28,115,109,0.48660714285714285
2017-06-29,92,69,0.42857142857142855
2017-06-30,117,76,0.39378238341968913
2017-07-01,114,70,0.3804347826086957
2017-07-02,92,54,0.3698630136986301
2017-07-03,110,64,0.367816091954023
2017-07-04,145,51,0.2602040816326531
2017-07-05,70,68,0.4927536231884058
2017-07-06,136,63,0.3165829145728643
2017-07-07,102,83,0.4486486486486487
2017-07-08,95,46,0.3262411347517731
2017-07-09,130,81,0.38388625592417064
2017-07-10,119,67,0.3602150537634409
2017-07-11,112,69,0.3812154696132597
2017-07-12,113,69,0.3791208791208791
2017-07-13,147,55,0.2722772277227723
2017-07-14,81,46,0.36220472440944884
2017-07-15,162,103,0.3886792452830189
2017-07-16,103,50,0.32679738562091504
2017-07-17,114,80,0.41237113402061853
2017-07-18,100,50,0.3333333333333333
2017-07-19,73,24,0.24742268041237114
2017-07-20,88,44,0.3333333333333333
2017-07-21,95,44,0.31654676258992803
2017-07-22,124,80,0.39215686274509803
2017-07-23,94,67,0.4161490683229814
2017-07-24,141,71,0.33490566037735847
2017-07-25,92,49,0.3475177304964539
2017-07-26,81,80,0.4968944099378882
2017-07-27,100,57,0.3630573248407643
2017-07-28,85,84,0.4970414201183432
2017-07-29,110,100,0.47619047619047616
2017-07-30,90,44,0.3283582089552239
2017-07-31,111,71,0.3901098901098901
2017-08-01,101,77,0.43258426966292135
2017-08-02,102,48,0.32
2017-08-03,107,69,0.39204545454545453
2017-08-04,106,57,0.3496932515337423
2017-08-05,89,60,0.40268456375838924
2017-08-06,91,57,0.38513513513513514
2017-08-07,129,73,0.3613861386138614
2017-08-08,85,54,0.38848920863309355
2017-08-09,95,49,0.3402777777777778
2017-08-10,89,58,0.3945578231292517
2017-08-11,74,54,0.421875
2017-08-12,122,64,0.34408602150537637
2017-08-13,92,53,0.36551724137931035
2017-08-14,101,64,0.3878787878787879
2017-08-15,98,62,0.3875
2017-08-16,100,91,0.47643979057591623
2017-08-17,108,89,0.4517766497461929
2017-08-18,100,81,0.44751381215469616
2017-08-19,105,83,0.44148936170212766
2017-08-20,114,45,0.2830188679245283
2017-08-21,102,57,0.3584905660377358
2017-08-22,72,26,0.2653061224489796
2017-08-23,88,38,0.30158730158730157
2017-08-24,98,58,0.3717948717948718
2017-08-25,140,51,0.2670157068062827
2017-08-26,97,69,0.41566265060240964
2017-08-27,125,49,0.28160919540229884
2017-08-28,147,64,0.3033175355450237
2017-08-29,81,44,0.352
2017-08-30,62,27,0.30337078651685395
2017-08-31,89,45,0.3358208955223881
